sample	EV1	EV2	cluster
ARG0038	-0.02059943722583833	0.12219445284288334	0
ARG0039	-0.018938767307146904	0.054675129465361585	0
ARG0040	-0.022036932645643097	0.09209795831716025	0
ARG0041	-0.020978488937503176	0.0848283729972489	0
ARG0042	-0.0208473881107763	0.03074004297791439	0
ARG0043	-0.02140229488062953	0.036403160857047784	0
ARG0044N	-0.023266997593617264	0.036319891870875115	0
ARG0045	-0.02169933145193674	0.08840663903449796	0
ARG0046	-0.022950888509155457	0.03346260976528112	0
ARG0047	-0.02190241466313176	0.0642210113657262	0
ARG0048N	-0.02311155893951297	0.0364973027756888	0
ARG0049	-0.022099288225564534	0.008859060475903808	0
ARG0050	-0.020747570195260266	0.07808256661888514	0
ARG0051	-0.019409615602567546	0.07880448591387189	0
ARG0052	-0.021248233552354574	0.07854634056009155	0
ARG0053	-0.019115503707388914	0.056225831248129375	0
ARG0054	-0.021903359495586392	0.12167326835141974	0
ARG0055	-0.02122404276976645	0.07555856820973023	0
ARG0056	-0.02103042294585735	0.08039013310156021	0
ARG0057	-0.020320432158818583	0.08902938036512335	0
ARG0058	-0.020162230665883834	0.1044830830665645	0
ARG0059	-0.021261659480884335	0.03226473900089216	0
ARG0060	-0.022020173400063844	0.06801658040550372	0
ARG0061	-0.0206943233177959	0.038225951239976276	0
ARG0062N	-0.020750115836720956	0.09623602083799142	0
ARG0063	-0.02030825079583091	0.08609486139146535	0
ARG0064	-0.02063147843841357	0.05798056842970091	0
ARG0065	-0.021144079777920335	0.05925506803529619	0
ARG0066	-0.021476302373940593	0.008974778623762556	0
ARG0067	-0.021050117897133333	0.09427734388204456	0
ARG0068	-0.020236146218372247	0.07152270264780708	0
ARG0069	-0.020984182567542344	0.08819372534979986	0
ARG0070	-0.02188523972705654	0.05764069711528226	0
ARG0071	-0.021563559608867286	0.05701994359622685	0
ARG0072	-0.021643551487136058	0.04031354582179159	0
ARG0073	-0.02045646121161327	0.07291792143884498	0
ARG0074	-0.020405152766043932	0.08811007664752689	0
ARG0075	-0.021605364964739887	-0.0022619929212005655	0
ARG0076	-0.02067138958762229	0.05250115950075231	0
ARG0077	-0.019724682527300166	0.054856600294677135	0
ARG0078	-0.02282089681834159	-0.005087341925577823	0
ARG0079	-0.02139977800958169	0.05545171317609518	0
ARG0080	-0.02057089562014614	0.0638516573140421	0
ARG0081	0.13856880663569393	-0.03364817361361935	1
ARG0082	0.0320257993184907	-0.03513293527044442	0
ARG0083	-0.021154271171972872	-0.012335317067893047	0
ARG0084	0.03437988334647605	-0.0365825254906548	0
ARG0085	-0.021097145798890826	-0.013204227016618896	0
ARG0086	0.03298631722951052	-0.0276486811976977	0
ARG0087N	-0.021063661118913172	-0.017556386355112658	0
ARG0088	-0.017318337590289695	-0.01478804983677339	0
